Data.Source,CFPP.name,MW,GEM.ID,Island,In.RUPTL.2021.2030,In.RUPTL.2025.2034,Biomass.Co.firing.Status,Gov..Prog.,Status.June.2023..JETP,Status.July.2024,COD,COD_RUPTL.2025,Retirement.target,Years.in.operation,Capacity.Group,YO.Group,Owner,Steam.Tech.,Boiler.Tech.,thermal_efficiency,APC,Notes,Latitude,Longitude,gas_unit,Hg.in.coal..ppb,Stack.height..m.,Stack.diameter..m.,Flue.exit.temp...U.2103..,Flue.velocity..m.s.,Link,GEM.Wiki,Captive.industry,Status.Jan.2024,Status.Jun.2023,Parent,Provinsi_ID,gem_unit_phase_id,gem_plant_unit_name,Status,Steam.Tech._GEM,COD_GEM,province,cofiring_name,cofiring_status,cofiring_share,biomass_type,cofiring_notes,cofiring_MW,cofiring_date,cofiring_future_target,cofiring_target_date,SO2_control,NOx_control,is_new,is_small,SOx_default,NOx_default,PM_default,pollutant,emissions_t,mg.Nm3,base_utilization,sfgv,fuel_input_GJ,fuel_kcal,hg_capture,GWh,emissions_t_per_GWh
Priority,Adipala Unit 1,660,G100040,Java,NA,NA,Commercial/implemented,NA,operating,operating,2015,NA,NA,10,4,2,PLN,SC,PC,0.42,"ESP, Low NOx Burner",NA,-7.68594,109.1376,NA,58.72,210,NA,NA,NA,http://karya.brin.go.id/id/eprint/4612/1/PROSIDING_SUTANTO%20WW_DKK_PSTA_2012.pdf,NA,NA,NA,NA,NA,NA,G100000100040,Adipala Unit 1,operating,supercritical,2015,Jawa Tengah,Adipala,NA,NA,NA,NA,NA,NA,NA,NA,none,LNB,FALSE,FALSE,509.945,349.215,59.5,NOx,4434.569417517157,349.215,0.6756018501657136,379.2857142857143,33480511.345012203,5000,0.1,3906.05965691809,1.1353050918367347
Priority,Adipala Unit 1,660,G100040,Java,NA,NA,Commercial/implemented,NA,operating,operating,2015,NA,NA,10,4,2,PLN,SC,PC,0.42,"ESP, Low NOx Burner",NA,-7.68594,109.1376,NA,58.72,210,NA,NA,NA,http://karya.brin.go.id/id/eprint/4612/1/PROSIDING_SUTANTO%20WW_DKK_PSTA_2012.pdf,NA,NA,NA,NA,NA,NA,G100000100040,Adipala Unit 1,operating,supercritical,2015,Jawa Tengah,Adipala,NA,NA,NA,NA,NA,NA,NA,NA,none,LNB,FALSE,FALSE,509.945,349.215,59.5,SOx,6475.628199292088,509.945,0.6756018501657136,379.2857142857143,33480511.345012203,5000,0.1,3906.05965691809,1.6578416020408164
Priority,Adipala Unit 1,660,G100040,Java,NA,NA,Commercial/implemented,NA,operating,operating,2015,NA,NA,10,4,2,PLN,SC,PC,0.42,"ESP, Low NOx Burner",NA,-7.68594,109.1376,NA,58.72,210,NA,NA,NA,http://karya.brin.go.id/id/eprint/4612/1/PROSIDING_SUTANTO%20WW_DKK_PSTA_2012.pdf,NA,NA,NA,NA,NA,NA,G100000100040,Adipala Unit 1,operating,supercritical,2015,Jawa Tengah,Adipala,NA,NA,NA,NA,NA,NA,NA,NA,none,LNB,FALSE,FALSE,509.945,349.215,59.5,PM,755.5714397785629,59.5,0.6756018501657136,379.2857142857143,33480511.345012203,5000,0.1,3906.05965691809,0.19343571428571432
Priority,Adipala Unit 1,660,G100040,Java,NA,NA,Commercial/implemented,NA,operating,operating,2015,NA,NA,10,4,2,PLN,SC,PC,0.42,"ESP, Low NOx Burner",NA,-7.68594,109.1376,NA,58.72,210,NA,NA,NA,http://karya.brin.go.id/id/eprint/4612/1/PROSIDING_SUTANTO%20WW_DKK_PSTA_2012.pdf,NA,NA,NA,NA,NA,NA,G100000100040,Adipala Unit 1,operating,supercritical,2015,Jawa Tengah,Adipala,NA,NA,NA,NA,NA,NA,NA,NA,none,LNB,FALSE,FALSE,509.945,349.215,59.5,Hg,0.08454366174012583,NA,0.6756018501657136,379.2857142857143,33480511.345012203,5000,0.1,3906.05965691809,2.1644232081911263e-5
Priority,Adipala Unit 1,660,G100040,Java,NA,NA,Commercial/implemented,NA,operating,operating,2015,NA,NA,10,4,2,PLN,SC,PC,0.42,"ESP, Low NOx Burner",NA,-7.68594,109.1376,NA,58.72,210,NA,NA,NA,http://karya.brin.go.id/id/eprint/4612/1/PROSIDING_SUTANTO%20WW_DKK_PSTA_2012.pdf,NA,NA,NA,NA,NA,NA,G100000100040,Adipala Unit 1,operating,supercritical,2015,Jawa Tengah,Adipala,NA,NA,NA,NA,NA,NA,NA,NA,none,LNB,FALSE,FALSE,509.945,349.215,59.5,CO2,3167256.373238154,NA,0.6756018501657136,379.2857142857143,33480511.345012203,5000,0.1,3906.05965691809,810.8571428571429
NA,Air Anyir Unit 1,30,G100508,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100508,Bangka Baru Unit 1,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,NOx,444.45378810503695,550,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,2.5032857142857146
NA,Air Anyir Unit 1,30,G100508,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100508,Bangka Baru Unit 1,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,SOx,37.172498641512185,46,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,0.20936571428571435
NA,Air Anyir Unit 1,30,G100508,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100508,Bangka Baru Unit 1,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,PM,80.80977965546126,100,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,0.4551428571428572
NA,Air Anyir Unit 1,30,G100508,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100508,Bangka Baru Unit 1,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,Hg,0.012277364799392806,NA,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,6.914948805460751e-5
NA,Air Anyir Unit 1,30,G100508,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100508,Bangka Baru Unit 1,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,CO2,201552.67829697343,NA,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,1135.2
NA,Air Anyir Unit 2,30,G100509,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100509,Bangka Baru Unit 2,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,NOx,444.45378810503695,550,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,2.5032857142857146
NA,Air Anyir Unit 2,30,G100509,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100509,Bangka Baru Unit 2,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,SOx,37.172498641512185,46,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,0.20936571428571435
NA,Air Anyir Unit 2,30,G100509,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100509,Bangka Baru Unit 2,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,PM,80.80977965546126,100,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,0.4551428571428572
NA,Air Anyir Unit 2,30,G100509,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100509,Bangka Baru Unit 2,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,Hg,0.012277364799392806,NA,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,6.914948805460751e-5
NA,Air Anyir Unit 2,30,G100509,Sumatra,NA,NA,Commercial/implemented,NA,operating,operating,2014,NA,NA,11,1,3,PLN,SubC,CFB,0.3,ESP,NA,-2.07925,106.1496,NA,134,NA,NA,153.15,NA,https://repository.its.ac.id/76043/1/2112100072-Undergraduate_Thesis.pdf,NA,NA,NA,NA,NA,NA,G100000100509,Bangka Baru Unit 2,operating,subcritical,2014,Bangka Belitung,Air Anyir (Bangka Baru),Commercial/implemented,0.05,Woodchips,NA,60,2022-09-27T00:00:00Z,NA,NA,FGD,none,FALSE,TRUE,46,550,100,CO2,201552.67829697343,NA,0.6756018501657136,379.2857142857143,2130577.9946825947,5000,0.1,177.54816622354952,1135.2
NA,Ampana Unit 1,3,NA,Sulawesi,NA,NA,Planned,NA,operating,operating,2017,NA,NA,8,1,2,PLN,NA,NA,0.3,NA,NA,-0.964184170512585,121.823045422378,NA,58.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,operating,NA,NA,Sulawesi Tengah,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,FALSE,TRUE,550,167,100,NOx,13.495233202462032,167,0.6756018501657136,379.2857142857143,213057.79946825947,5000,0.1,17.75481662235495,0.7600885714285716
