emission_names,cluster,is_new_cluster,Longitude,Latitude,Height..m.,Diameter..m.,Exit.Temp....,Velocity..m.s.,MW,CO2_tpa,Hg_kgpa,NOx_tpa,PM_tpa,SOx_tpa,FGD
Adaro20,adaro20,FALSE,117.858,2.528,265,8.5,120,20,2200,13817415.410526313,368.8286507088197,30469.466706766914,3296.2423073684204,30469.466706766914,FALSE
Adipa41,adipa41,FALSE,109.1376,-7.68594,210,7.5,120,19.5,660,3167256.373238154,84.54366174012583,4904.166591349278,755.5714397785629,6475.628199292088,FALSE
AirAn42,airan42,FALSE,106.1496,-2.07925,135,4.7,153.15,17,60,403105.35659394687,24.554729598785613,888.9075762100739,161.6195593109225,74.34499728302437,TRUE
Amama26,amama26,FALSE,136.8391,-4.82775,150,5.5,120,18.5,195,1551318.9119999998,41.40939851139932,1038.7066381714285,621.9800228571429,3420.890125714286,FALSE
Ampan151,ampan151,TRUE,121.823045422378,-0.964184170512585,130,4.5,120,16.5,6,40310.535659394685,1.0760102403288743,26.990466404924064,16.16195593109225,88.8907576210074,FALSE
Amura44,amura44,FALSE,124.4806,1.182502,95.25,3.9299999999999997,75,16.75,120,806210.7131878937,21.52020480657748,1248.7212011039808,323.239118621845,148.68999456604874,TRUE
Andal19,andal19,FALSE,95.24653,5.453465,140,5,120,17.5,30,238664.448,6.370676694061433,159.80102125714285,95.68923428571428,526.2907885714285,FALSE
Asahi24,asahi24,FALSE,105.9451,-6.024463333333333,141.66666666666666,4.866666666666666,120,16.5,340,2202412.2745263157,58.78905159783005,3665.4348758616534,577.0732330827067,4554.0563075729315,FALSE
Asam-46,asam-46,FALSE,115.1058,-3.92653,141.66666666666666,4.966666666666667,120,17.083333333333332,460,2807593.4485578407,77.86530435536352,3898.422838250984,1615.9120500227148,8266.02442175071,FALSE
Atamb47,atamb47,FALSE,117.06246785714285,-0.37309760000000003,127.14285714285714,4.285714285714286,113.57142857142857,16,134,900268.6297264814,24.030895367344854,850.3882479076374,360.950349127727,1170.664341275449,FALSE
Bandu27,bandu27,FALSE,107.6058,-6.9705,140,5,120,18,30,238664.448,6.370676694061433,159.80102125714285,95.68923428571428,526.2907885714285,FALSE
Banja49,banja49,FALSE,103.6904,-3.72507,145,5,75,17,220,1166883.9269824778,38.93458106453163,2138.0566438315986,278.36842518157573,1670.2105510894544,TRUE
Bante50,bante50,FALSE,106.0459,-5.88297,220,7.5,120,19,660,3167256.373238154,84.54366174012583,5803.296604685768,755.5714397785629,6475.628199292088,FALSE
BatuH28,batuh28,FALSE,116.73875000000001,-8.901195000000001,145,5.5,120,18.5,236,1877493.6576,50.11598999328327,1257.1013672228573,752.7553097142857,4140.154203428571,FALSE
Bengk29,bengk29,FALSE,108.873503838638,0.836086614110765,135,4.6,120,16.5,100,671842.2609899115,17.933504005481236,449.84110674873443,269.3659321848709,1481.51262701679,FALSE
Bengk51,bengk51,FALSE,102.2704,-3.91235,120,4.7,75,8.5,200,1060803.569984071,28.316058956023,225.4167537757604,229.66990007341627,259.44192415700724,TRUE
Berau52,berau52,FALSE,117.392290533605,2.15671610349533,125,4.35,120,16.5,14,94057.91653858761,2.510690560767373,207.4117677823506,37.71123050588193,207.4117677823506,FALSE
Bukit54,bukit54,FALSE,103.7975,-3.73213,152.5,6,120,19.5,260,1746789.8785737695,18.636551114142982,1559.1923745402628,700.3514236806643,3851.9328302436534,FALSE
Celuk55,celuk55,FALSE,114.8516,-8.19629,210,8.5,50,20,426,2259511.6040660706,12.365866667024719,4688.000001,498.9999999,6566.000001,TRUE
Cemin30,cemin30,FALSE,106.2502,-6.95081,135,4.7,120,16.5,60,477328.896,12.741353388122866,319.6020425142857,191.37846857142856,1052.581577142857,FALSE
Cikar31,cikar31,FALSE,107.05197,-6.11607,145,5,120,17,280,1485124.9979776987,39.642482538432205,2721.163001240216,354.2870865947328,3036.4189642613615,FALSE
Cilac56,cilac56,FALSE,109.0898,-7.68575,175,6.5,120,18.5,600,3455188.770805259,92.22944917104634,5349.9999178355765,824.2597524857048,7064.321671955004,FALSE
Cilac57,cilac57,FALSE,109.0964,-7.68324,240,8,97.5,20,1660,7966129.666023238,184.4588983420927,12156.245938249003,1900.3766515642642,14344.986516386663,FALSE
Cireb59,cireb59,FALSE,108.6149,-6.77029,207.5,7.8,128.5,25,1584,7601415.295771569,202.90478817630196,19594.062715602056,1257.1692863542473,19352.787802059323,FALSE
DSSSe32,dssse32,FALSE,106.2892,-6.12544,146.25,5.5,120,18.5,175,1392209.2800000003,37.16228071535836,932.172624,558.1872000000001,3070.0296000000008,FALSE
Delon7,delon7,FALSE,122.4193,-3.90754,136.25,4.65,120,16.5,530,3797695.690105263,101.37199581603016,4368.44857133233,1267.6725094736842,8122.326740120299,FALSE
Delon8,delon8,FALSE,122.46636,-3.827974,152,5.12,120,16.7,1840,11556383.797894737,308.47487150192205,21174.516664781957,2756.8572025263156,23627.656237685416,FALSE
Delon9,delon9,FALSE,121.4381,-2.00469,145,4.814285714285714,120,16.071428571428573,945,5935207.983157895,158.4286704181067,10874.955569684213,1415.8859002105264,12134.856056854738,FALSE
Embal48,embal48,FALSE,117.065,-0.36501,140,4.7,75,16.5,200,1060803.569984071,28.316058956023,710.2754317085281,425.3146297655856,195.6447296921694,TRUE
FAJAR33,fajar33,FALSE,107.124,-6.27265,135,4.7,120,16.5,55,437551.48800000007,11.679573939112629,292.9685389714286,175.43026285714288,964.8664457142858,FALSE
Goron60,goron60,FALSE,122.796428911427,0.850510452467316,130,4.4,75,16.5,50,335921.13049495575,8.966752002740618,740.756313508395,134.68296609243546,61.95416440252031,TRUE
Holte61,holte61,FALSE,140.790493912775,-2.6143322796123,135,4.7,120,17,20,134368.4521979823,3.5867008010962476,296.30252540335795,53.87318643697418,296.30252540335795,FALSE
IndoB34,indob34,FALSE,107.3852,-6.4858,140,5,120,17.5,36.6,291170.62656000006,7.7722255667549485,194.9572459337143,116.74086582857144,642.074762057143,FALSE
Indra62,indra62,FALSE,107.9704,-6.27474,220,9.2,130,20.3,990,5250977.67142115,140.16449183231387,6501.399835486569,1396.239879179655,4649.150369711147,FALSE
Jambi63,jambi63,FALSE,103.1998,-1.92274,210,5,130,15.72,600,3182410.709952212,106.18522108508625,12842.3,1712.306,12842.3,FALSE
Jambi64,jambi64,FALSE,103.1899,-1.92842,210,5,130,15.72,600,3182410.709952212,106.18522108508625,12842.3,1712.306,12842.3,FALSE
Jawa-68,jawa-68,FALSE,106.0336,-5.88922,278.3333333333333,8.166666666666666,90,19.833333333333332,2625,12912757.741770387,301.98177954091994,10743.178561691713,3055.3128325146345,11810.73726966359,TRUE
Jawa-70,jawa-70,FALSE,110.74235,-6.446244999999999,240,8.1,61.5,16.95,3320,16599050.147465032,380.7835737705189,21028.30622581146,4097.197600075142,10428,FALSE
